City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
221,Narsaq,GL,2022-08-28 16:37:01,60.9167,-46.05,48.42,75,100,2.57
222,Sur,OM,2022-08-28 16:37:01,22.5667,59.5289,85.5,59,12,10.58
223,Vincennes,FR,2022-08-28 16:37:01,48.85,2.4333,82.02,46,0,8.05
224,Mubende,UG,2022-08-28 16:37:02,0.5606,31.39,63.63,95,68,1.95
225,Narva-Joesuu,EE,2022-08-28 16:37:02,59.4589,28.0408,72.95,56,38,6.02
226,Tutoia,BR,2022-08-28 16:37:02,-2.7619,-42.2744,83.95,63,93,11.3
227,Ponta Delgada,PT,2022-08-28 16:37:02,37.7333,-25.6667,77.5,69,40,14.97
228,Trujillo Alto,PR,2022-08-28 16:37:03,18.3547,-66.0074,89.47,73,40,12.66
229,Port Augusta,AU,2022-08-28 16:37:03,-32.5,137.7667,53.92,37,32,5.5
230,Finschhafen,PG,2022-08-28 16:37:03,-6.6024,147.8681,78.28,78,100,7.72
231,Cururupu,BR,2022-08-28 16:37:03,-1.8283,-44.8683,87.57,53,61,8.32
232,Strezhevoy,RU,2022-08-28 16:37:04,60.7333,77.5889,57.56,70,89,12.24
233,Barrow,US,2022-08-28 16:33:34,71.2906,-156.7887,37.42,100,100,5.75
234,Yerbogachen,RU,2022-08-28 16:37:04,61.2767,108.0108,40.87,94,85,9.35
235,Isangel,VU,2022-08-28 16:38:04,-19.55,169.2667,72.91,78,100,13.98
236,Shelburne,CA,2022-08-28 16:38:03,44.0787,-80.2041,78.24,49,93,9.42
237,Arraial Do Cabo,BR,2022-08-28 16:38:04,-22.9661,-42.0278,87.76,54,0,11.5
238,Evensk,RU,2022-08-28 16:38:05,61.95,159.2333,50.56,95,100,3.8
239,Nioro,GM,2022-08-28 16:38:05,13.35,-15.75,85.08,77,94,5.35
240,Taremskoye,RU,2022-08-28 16:37:21,55.9289,43.0443,73.8,36,93,3.31
241,Sovetskiy,RU,2022-08-28 16:38:05,61.3614,63.5842,65.14,74,7,7.94
